Lajinumero,laji,"Kaikki Tammikuu, Helmikuu","Ensimmäiset viisi havaintoa 1.1. alkaen (x), ensimmäinen yli 10 yksilön havaint (10), enimmäinen yli sadan yksilön havainto (100)  ensimmäinen yli tuhannen yksilön havainto (1000)",Viimeiset viisi havaintoa vuoden lopusta,Vuoden viisi suurinta määrää,"Alkuvuoden viisi suurinta määrää, kuukaudet tammikuu – kesäkuu","Loppuvuoden viisi suurinta määrää, kuukaudet kuukaudet heinäkuu – joulukuu","Viisi suurinta kevään määrää, kuukaudet maaliskuu – toukokuu","Viisi kesän suurinta määrää, kuukaudet kesä-elokuu","Viisi suurinta syyskauden määrää, kuukaudet elokuu - lokakuu","Viisi talviajan suurinta määrää, kuukaudet tammi-helmikuu ja joulukuu",kaikki havainnot,kaikki kevään havainnot kuukaudet maaliskuu – toukokuu,kaikki kesän havainnot kuukauden kesäkuu – elokuu,"kaikki syksyn havainnot, kuukaudet elokuu – lokakuu","Kaikki tammi-helmikuun ja joulukuun havainnot, ei Oulusta","kaikki havainnot, kunnat Taivalkoski ja Pudasjärvi","kaikki havainnot, ei kunnat Taivalkoski ja Pudasjärvi",Havaintojen lukumäärä kunnittai kunnan nimi tai  nimilyhenne),Kaikki joulukuu,"Salatut hvainnot; jos laji on salattu (merkintä salattu TIIIRA-aineistossa) JA laji tulee lajilistauskeen, merkitään seuraavsti ***SALATTU HAVAINTO ***"
66,Arosuohaukka / niittysuohaukka,,,,,,,,,,,x,,,,,,,,,x
67,Kanahaukka,x,x,x,,x,x,,,,,,,,,,,,,x,x
68,Varpushaukka,x,x,x,,x,x,,,,,,,,,,,,,x,x
69,Hiirihaukka,x,x,x,,x,x,,,,,,,,,,,,,x,x
70,Piekana,x,x,x,,x,x,,,,,,,,,,,,,x,x
71,Hiirihaukkalaji,x,x,x,,x,x,,,,,,,,,,,,,x,x
72,Maakotka,x,x,x,,x,x,,,,,,,,,,,,,x,x
73,Kiljukotka / pikkukiljukotka,,,,,,,,,,,x,,,,,,,,,x
74,Sääksi,,x,x,,x,x,,,,,,,,,,,,,,x
75,Tuulihaukka,x,x,x,,x,x,,,,,,,,,,,,,x,x
76,Ampuhaukka,x,x,x,,x,x,,,,,,,,,,,,,x,x
77,Nuolihaukka,,x,x,,x,x,,,,,,,,,,,,,,x
78,Muuttohaukka,x,x,x,,x,x,,,,,,,,,,,,,x,x
79,Luhtakana,,,,,,,,,,,x,,,,,,,,,x
80,Luhtahuitti,,,,,,,,,,,x,,,,,,,,,x
81,Ruisrääkkä,,,,,,,,,,,x,,,,,,,,,x
82,Liejukana,,,,,,,,,,,x,,,,,,,,,x
83,Nokikana,x,x,x,,,,x,x,x,,,,,,,x,,,x,x
84,Kurki,x,x,x,,,,x,x,x,,,,,,,,,,x,x
85,Avosetti,,,,,,,,,,,x,,,,,,,,,x
86,Meriharakka,,x,x,,,,x,x,x,,,,,,,,,,,x
87,Kapustarinta,,x,x,,,,x,x,x,,,,,,,,,,,x
88,Tundrakurmitsa,,x,x,,,,,,x,,,x,x,,,,,,,x
89,Töyhtöhyyppä,x,x,x,,,,x,x,x,,,,,,,,,,x,x
90,Pikkutylli,,x,x,,,,x,x,x,,,,,,,,,,,x
91,Tylli,,x,x,,,,x,x,x,,,,,,,,,,,x
92,Keräkurmitsa,,,,,,,,,,,x,,,,,,,,,x
93,Pikkukuovi,,x,x,,,,x,x,x,,,,,,,,,,,x
94,Kuovi,,x,x,,,,x,x,x,,,,,,,,,,,x
95,Mustapyrstökuiri,,x,x,,,,x,x,,,,,,x,,,,,,x
96,Punakuiri,,x,x,,,,x,,x,,,,x,,,,,,,x
97,Karikukko,,x,x,,,,x,x,x,,,,,,,,,,,x
98,Isosirri,x,x,x,,,,,,x,,,x,x,,,,,,x,x
99,Suokukko,,x,x,,,,x,x,x,,,,,,,,,,,x
100,Jänkäsirriäinen,,x,x,,,,x,x,x,,,,,,,,,,,x
101,Kuovisirri,,x,x,,,,x,,x,,,,x,,,,,,,x
102,Lapinsirri,,x,x,,,,x,x,x,,,,,,,,,,,x
103,Pulmussirri,,x,x,,,,x,,x,,,,x,,,,,,,x
104,Suosirri,x,x,x,,,,x,x,x,,,,,,,,,,x,x
105,Merisirri,,,,,,,,,,,x,,,,,,,,,x
106,Pikkusirri,,x,x,,,,x,,x,,,,x,,,,,,,x
107,Vesipääsky,,x,x,,,,x,x,x,,,,,,,,,,,x
108,Rantakurvi,,,,,,,,,,,x,,,,,,,,,x
109,Rantasipi,,x,x,,,,x,x,x,,,,,,,,,,,x
110,Metsäviklo,,x,x,,,,x,x,x,,,,,,,,,,,x
111,Mustaviklo,,x,x,,,,x,x,x,,,,,,,,,,,x
112,Valkoviklo,,x,x,,,,x,x,x,,,,,,,,,,,x
113,Lampiviklo,,,,,,,,,,,x,,,,,,,,,x
114,Liro,,x,x,,,,x,x,x,,,,,,,,,,,x
115,Punajalkaviklo,,x,x,,,,x,x,x,,,,,,,,,,,x
116,Jänkäkurppa,x,x,x,,,,x,x,x,,,,,,,,,,x,x
117,Lehtokurppa,x,x,x,,,,x,x,x,,,,,,,,,,x,x
118,Taivaanvuohi,x,x,x,,,,x,x,x,,,,,,,,,,x,x
119,Heinäkurppa,,,,,,,,,,,x,,,,,,,,,x
120,Kahlaaja,x,x,x,,,,x,x,x,,,,,,,,,,x,x
121,Leveäpyrstökihu,,,,,,,,,,,x,,,,,,,,,x
122,Merikihu,x,x,x,,,,x,x,x,,,,,,,,,,x,x
123,Tunturikihu,,,,,,,,,,,x,,,,,,,,,x
124,Riskilä,,,,,,,,,,,x,,,,,,,,,x
125,Ruokki,x,x,x,,,,x,x,x,,,,,,,,,,x,x
126,Pikkutiira,x,x,x,,,,x,x,x,,,,,,,,,,x,x
127,Räyskä,x,x,x,,,,x,x,x,,,,,,,,,,x,x
128,Mustatiira,,,,,,,,,,,x,,,,,,,,,x
129,Kalatiira,,x,x,,,,x,x,x,,,,,,,,,,,x
130,Lapintiira,,x,x,,,,x,x,x,,,,,,,,,,,x
131,Kalatiira / lapintiira,,x,x,,,,x,x,x,,,,,,,,,,,x
132,Pikkulokki,x,x,x,,,,x,x,x,,,,,,,,,,x,x
133,Pikkukajava,,,,,,,,,,,x,,,,,,,,,x
134,Naurulokki,x,x,x,,,,x,x,x,,,,,,,,,,x,x
135,Kalalokki,x,x,x,,,,x,x,x,x,,,,,,,,,x,x
136,Selkälokki,x,x,x,,,,x,x,x,,,,,,,,,,x,x
137,Idänselkälokki,,,,,,,,,,,x,,,,,,,,,x
138,Harmaalokki,x,x,x,,,,x,x,x,x,,,,,,,,,x,x
139,Isolokki,,,,,,,,,,,x,,,,,,,,,x
140,Harmaalokki x Isolokki,,,,,,,,,,,x,,,,,,,,,x
141,Merilokki,x,x,x,,,,x,x,x,x,,,,,,,,,x,x
142,Kesykyyhky,,,,,x,x,,,,,,,,,,,,,,x
143,Uuttukyyhky,x,x,x,,x,x,,,,,,,,,,x,,,x,x
144,Sepelkyyhky,x,x,x,,x,x,,,,,,,,,,,,,x,x
145,Turkinkyyhky,,,,,,,x,x,x,x,,,,,,,,,,x
146,Turturikyyhky,,,,,,,,,,,x,,,,,,,,,x
147,Käki,x,x,x,x,,,,,,,,,,,,,,,x,x
148,Huuhkaja,,,,,,,,,,,,,,,,,,x,,x
149,Tunturipöllö,,,,,,,,,,,x,,,,,,,,,x
150,Hiiripöllö,x,,,,,,,,,,x,,,,,,,x,x,x
151,Varpuspöllö,,,,,,,,,,,,,,,,,,x,,x
152,Viirupöllö,,,,,,,,,,,,,,,,,,x,,x
153,Lapinpöllö,x,,,,,,,,,,x,,,,,,,x,x,x
154,Sarvipöllö,,,,,,,,,,,x,,,,,,,x,,x
155,Suopöllö,x,x,x,,,,x,x,x,,,,,,,,,x,x,x
156,Helmipöllö,,,,,,,,,,,,,,,,,,x,,x
157,Tervapääsky,,x,x,,,,x,x,x,,,,,,,,,,,x
158,Kuningaskalastaja,,,,,,,,,,,x,,,,,,,,,x
159,Harjalintu,,,,,,,,,,,x,,,,,,,,,x
160,Käenpiika,x,x,x,x,,,,,,,,,,,,,,,x,x
161,Harmaapäätikka,,,,,,,,,,,x,,,,,,,x,,x
